"lat","mean_anomaly","sum_anomaly","latitude"
"-42",-0.0646842645881647,1.48772738375795,-42
"-40",-3.74043747479061,-3.74043747479061,-40
"-39",-0.610351254467874,-8.82053395678489,-39
"-38",-0.103743774799356,-11.6986635167642,-38
"-37",0.119998579132487,-10.1917667387658,-37
"-36",-0.181983263605348,-12.9176817319251,-36
"-35",-0.347719433383003,-6.25894980089405,-35
"-34",0.760289804245717,20.8136162333119,-34
"-33",0.264439260247198,0.665992680284466,-33
"-32",0.441390230369597,9.38279735191153,-32
"-31",-0.281172124225721,-0.562344248451442,-31
"-30",1.01428848203574,14.8700103439307,-30
"-29",-0.434429001580291,-10.9532859777521,-29
"-28",-0.00376734915244537,-3.18496341207732,-28
"-27",-0.14488507578449,-2.79597951445968,-27
"-26",-0.335750552655324,1.12048811637387,-26
"-25",-0.0808166718367889,5.94394853561554,-25
"-24",-0.790606281707343,-1.58121256341469,-24
"-23",0.180705093525262,14.7000164169324,-23
"-22",0.621388630652004,1.24277726130401,-22
"-21",-0.801150162727613,-3.20460065091045,-21
"-20",-1.36547602620797,-1.32624484706231,-20
"-19",-0.802698824840949,-9.07666570853407,-19
"-18",0.269224399441664,-2.35659428290985,-18
"-17",0.832246484242986,4.99347890545791,-17
"-16",-0.276568312294028,3.21736685958458,-16
"-15",0.178069134012899,5.24083604877558,-15
"-14",-1.29507979610621,-2.59015959221242,-14
"-13",-0.542844398547734,-2.17137759419094,-13
"-12",1.49435494863276,5.97741979453106,-12
"-11",-2.5926423951041,-7.77792718531229,-11
"-10",-0.425222713341626,-0.425222713341626,-10
"-9",0.239713601254919,0.479427202509837,-9
"-8",0.520047431087226,-1.82669384549091,-8
"-7",-0.495189673320809,-0.684670340979725,-7
"-6",0.432956560546764,2.21012165773305,-6
"-5",-0.66247666101814,-0.66247666101814,-5
"-4",0.313530177898362,10.3071669176134,-4
"-3",-0.181452630826547,-9.11937400218414,-3
"-2",-0.631762983176914,-24.9050079816972,-2
"-1",1.36183503978054,2.28681482365131,-1
"0",0.00232912494586479,0.00232912494586479,0
"1",-0.305002441699463,-0.305002441699463,1
"11",0.276116211245496,-0.118378416293986,11
"12",-1.21883315762473,1.65026239286041,12
"13",0.926529062592955,27.9935573805122,13
"14",0.307464566279749,1.00616465926153,14
"15",0.780957992231403,5.10601460554102,15
"16",0.788127662002877,17.6709222776512,16
"17",0.0413675846767132,3.35244305456426,17
"18",-0.20222653862772,-8.90021430371483,18
"19",-0.127488421070398,32.2174499959162,19
"20",0.113437740883375,-6.93727942333084,20
"21",0.654714367844468,37.4186169528601,21
"22",0.92323654677235,37.82334242841,22
"23",-0.299286724680782,1.50114407383626,23
"24",-0.0418918975423332,2.33295761390627,24
"25",0.426960091838308,8.18902006772982,25
"26",-0.686661473174789,6.44649175360005,26
"27",-1.02917390237667,-1.02917390237667,27
"28",0.0948868145876969,2.89680850270622,28
"29",0.674382414331837,10.7869341601719,29
"30",-0.256398401330175,-1.53839040798105,30
"31",-0.222163611022187,-5.36836512353622,31
"32",0.0155784348929212,12.8571474110338,32
"33",-0.351968450696551,6.27835986471337,33
"34",0.110805018982446,4.36243173694961,34
"35",-0.169617906917705,-1.26351879275425,35
"36",0.0827098443117573,9.0034465324494,36
"37",0.0110702208775768,-10.4758850818005,37
"38",-0.572531551228859,-34.2847519395638,38
"39",-0.249773073531703,-9.99092294126811,39
"40",0.190784217985783,15.653725046448,40
"41",0.0499084646463823,45.5388017896345,41
"42",-0.164082094079007,4.839386203219,42
"43",-0.103206308147675,3.35464182349542,43
"44",-0.162986554649252,8.45492991044743,44
"45",-0.4167941853158,-1.13462032767224,45
"46",0.0311877413517069,-1.02231705760567,46
"47",-0.181745592946182,32.9873420134844,47
"48",-0.157458799682501,-6.61326958666506,48
"49",-0.224870326492134,6.42492970471378,49
"50",0.0549931195144634,31.0042879336039,50
"51",0.290140573340406,52.4360227331712,51
"52",0.250891573907629,56.4679864729108,52
"53",0.191479040612228,22.323557983809,53
"54",-0.0343091686965951,27.6256276890964,54
"55",-0.0932925317085005,-1.50040332827191,55
"56",-0.336983156945071,1.64890017845087,56
"57",-0.0531021146794639,6.2929796712417,57
"58",-0.519797510558236,-8.33727840648448,58
"59",0.0298967183867273,-1.17629194262781,59
"60",0.185321310866911,31.8846531359701,60
"61",-0.189239917304615,28.8052742753897,61
"62",0.132300495113646,35.0165324938434,62
"63",-0.111830901039403,29.9595265867491,63
"64",0.0324917664901513,37.0220761727557,64
"65",-0.0106236429939977,20.8776784102623,65
"66",0.203587752211575,32.9117762609798,66
"67",-0.322646509000539,5.04528149107898,67
"68",-0.221877752518485,-2.46907771824882,68
"69",-0.0851843266204468,36.3157969478756,69
"70",0.107223252669851,15.0816739539416,70
"71",-0.370139826691692,-1.13052706960195,71
"72",1.05357897612784,1.05357897612784,72
"73",-0.153303611569289,-0.153303611569289,73
"-45",NA,NA,-45
"-44",NA,NA,-44
"-43",NA,NA,-43
"-41",NA,NA,-41
"2",NA,NA,2
"3",NA,NA,3
"4",NA,NA,4
"5",NA,NA,5
"6",NA,NA,6
"7",NA,NA,7
"8",NA,NA,8
"9",NA,NA,9
"10",NA,NA,10
