"ID","obs_bl_median","year_count","start_year","end_year","obs_count_2024","storage_long_term_mean","storage_long_term_mean_smooth","storage_long_term_median","storage_long_term_sd","storage_2024_mean","storage_2024_mean_smooth","storage_2024_median","storage_2024_sd","storage_anomaly_volume","storage_anomaly_volume_smooth","storage_anomaly_percent","storage_anomaly_percent_smooth","lake_name","country_name","basin_id","basin_name","altimetry","latitude","longitude","HYBAS_ID","Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat"
308,3,32,"1993","2024",6,1274.55868377686,1277.01279602051,1280.30310058594,27.445436338889,1277.44610595703,1260.60685221354,1259.00006103516,32.525364891005,2.88742218017569,-16.405943806966,0.226542898097049,-1.28471256185459,"","Canada","8030016860","Northwest Territories","ICESat2",63.6596069335938,-106.688545227051,8020010700,308,NA,"Canada","North America","CanVec",1,0,110.75,398.99,10.7,1256.49,0,3,11.3,12.149,1197,356,2.11,2620.7,-106.688542,63.659607
309,3,32,"1993","2024",10,3513.22698230278,3524.09143959604,3503.43029785156,96.730616597201,3484.73828125,3512.85600585937,3509.33447265625,123.074988353199,-28.4887010527818,-11.2354337366619,-0.810898390462338,-0.318817883396062,"Ford","Canada","8030016860","Northwest Territories","ICESat2",63.5905990600586,-97.1949920654297,8020010700,309,"Ford","Canada","North America","CanVec",1,0,265.7,458.2,7.93,3394.25,0,3,12.8,329.941,119.1,80,1.91,56030.1,-97.19499,63.5906
315,3,32,"1993","2024",7,3520.74157714844,3525.91541137695,3553.37341308594,205.226746300331,3557.61293247768,3559.04202706473,3560.02709960938,23.7813144060789,36.8713553292409,33.1266156877791,1.04726105342569,0.939518162599437,"","Canada","8030016860","Northwest Territories","ICESat2",63.3109588623047,-95.0510635375977,8020010700,315,NA,"Canada","North America","CanVec",1,0,323.6,1616.23,25.34,3592.86,0,3,11.1,19.252,2160,85,1.61,2200.4,-95.051062,63.310959
316,3,32,"1993","2024",7,918.413888665694,920.082827024822,921.708740234375,13.9692720850518,919.618573869978,919.582380022321,927.735107421875,15.3901551201425,1.20468520428346,-0.50044700250055,0.131170185811723,-0.0543915164810536,"Campbell","Canada","8030016860","Northwest Territories","ICESat2",63.2893524169922,-106.951400756836,8020010700,316,"Campbell","Canada","North America","CanVec",1,0,115.34,342.97,9.01,896.28,0,3,7.8,4.564,2272.9,373,1.5,976.9,-106.951403,63.289353
322,3,32,"1993","2024",9,1224.95269856771,1225.4467594401,1226.4462890625,32.8765634982792,1247.34661187066,1256.38525390625,1256.38525390625,14.6153179220237,22.3939133029514,30.9384944661458,1.82814514626857,2.52467063361295,"","Canada","8030016860","Northwest Territories","ICESat2",63.1035690307617,-92.6253204345703,8020010700,322,NA,"Canada","North America","CanVec",1,0,126.18,542.89,13.63,1184.66,0,3,9.4,3.327,4121.2,26,1.74,422.5,-92.625319,63.103568
329,3,32,"1993","2024",6,1904.10858550629,1902.46112139813,1905.07275390625,34.2973132740077,1895.00079345703,1903.13934326172,1903.13934326172,27.1635821996679,-9.10779204925939,0.678221863585577,-0.47832314388928,0.0356497095240058,"","Canada","8030016860","Northwest Territories","ICESat2",62.8472671508789,-96.5537261962891,8020010700,329,NA,"Canada","North America","CanVec",1,0,145.38,256.82,6.01,1912.44,0,3,13.2,16.322,1356.1,91,2.25,2321.1,-96.55373,62.847266
341,3,32,"1993","2024",3,9300.23234953704,9356.48336226852,9371.580078125,197.542213928646,9536.7119140625,9536.7119140625,9536.7119140625,0,236.479564525464,180.228551793982,2.54272748935391,1.92624242266899,"Nowleye","Canada","8030016860","Northwest Territories","ICESat2",62.3600921630859,-100.790893554688,8020010700,341,"Nowleye","Canada","North America","CanVec",1,0,271.64,349.09,5.97,9422.56,0,3,34.7,157.194,693.8,239,4.54,26136.7,-100.79089,62.360093
343,3,32,"1993","2024",5,1311.32948601383,1319.57873956088,1322.45520019531,38.2205271501631,1203.93176269531,1117.17834472656,1117.17834472656,119.171781137504,-107.397723318516,-202.400394834321,-8.18998767769521,-15.338258246088,"","Canada","8030009560","Mackenzie","ICESat2",62.3224792480469,-107.677085876465,8020008900,343,NA,"Canada","North America","CanVec",1,0,134.47,427.08,10.39,1290.59,0,3,9.6,4.343,3439.4,369,1.74,1063.3,-107.677083,62.322478
351,4,32,"1993","2024",8,957.417179144702,979.926534411977,981.572937011719,82.837652591211,1012.16547393799,998.095710754395,1011.94924926758,46.9774132996632,54.7482947932864,18.1691763424179,5.7183321947696,1.85413658109796,"","Canada","8030016860","Northwest Territories","ICESat2",62.0428466796875,-102.102767944336,8020010700,351,NA,"Canada","North America","CanVec",1,0,109,525.76,14.21,1068.54,0,3,9.8,13.583,910.5,272,1.86,2847.4,-102.102768,62.042846
353,5,32,"1993","2024",10,1980.47495238249,2020.69100069409,2027.61059570312,110.543904813776,1744.02164306641,1718.055078125,1655.58569335938,255.39310639887,-236.453309316083,-302.635922569086,-11.9392224088284,-14.976853089618,"","Canada","8030009560","Mackenzie","ICESat2",62.0059623718262,-110.572807312012,8020008900,353,NA,"Canada","North America","CanVec",1,0,102.33,362.51,10.11,2029.88,0,3,19.8,1.661,14144.5,317,3.5,793,-110.572805,62.005964
