"lat","sign","mean_anomaly","sd_anomaly","sum_anomaly","latitude"
"-42","Negative",-1.74646444211061,NA,-1.74646444211061,-42
"-42","Positive",1.61709591293428,2.03895776873695,3.23419182586856,-42
"-40","Negative",-3.74043747479061,NA,-3.74043747479061,-40
"-39","Negative",-1.71947547665921,1.13022667761439,-10.3168528599553,-39
"-39","Positive",0.498772967723468,0.56441530702453,1.4963189031704,-39
"-38","Negative",-1.60396467012951,1.15273692765816,-25.6634347220721,-38
"-38","Positive",1.39647712053079,1.77601294585692,13.9647712053079,-38
"-37","Negative",-1.90167568517293,1.47236113863932,-38.0335137034585,-37
"-37","Positive",2.1416728434379,1.46326455196741,27.8417469646927,-37
"-36","Negative",-1.71001668107934,1.47847246146706,-29.0702835783488,-36
"-36","Positive",1.34605015386865,1.49401629404837,16.1526018464238,-36
"-35","Negative",-2.03709397460706,1.1420891274893,-18.3338457714635,-35
"-35","Positive",1.34165510784105,1.33177890854092,12.0748959705695,-35
"-34","Negative",-1.04608132292328,1.31838962943906,-12.5529758750793,-34
"-34","Positive",2.56666093141471,1.54319465733157,33.3665921083912,-34
"-33","Negative",-1.25363922134096,1.49437509310894,-10.0291137707277,-33
"-33","Positive",1.78251774183535,0.896646660085355,10.6951064510121,-33
"-32","Negative",-1.06777804224573,0.747558545121091,-4.2711121689829,-32
"-32","Positive",1.95055850298492,1.17122798737772,13.6539095208944,-32
"-31","Negative",-0.281172124225721,0.337979147547267,-0.562344248451442,-31
"-30","Negative",-0.674637139875469,0.873411771512397,-1.34927427975094,-30
"-30","Positive",2.70321410394694,1.94592374470016,16.2192846236817,-30
"-29","Negative",-2.26470594614629,1.77023290189076,-24.9117654076092,-29
"-29","Positive",1.39584794298571,1.16963341337081,13.9584794298571,-29
"-28","Negative",-1.54350616705687,1.38717517567963,-23.1525925058531,-28
"-28","Positive",1.53597146875198,1.38925659829448,19.9676290937758,-28
"-27","Negative",-1.0573586050458,1.3737026980743,-7.40151023532058,-27
"-27","Positive",0.767588453476816,0.606465331420563,4.6055307208609,-27
"-26","Negative",-1.94033195118281,0.940953207902111,-7.76132780473122,-26
"-26","Positive",1.26883084587216,1.47697402863984,8.88181592110509,-26
"-25","Negative",-2.46621620955925,1.33639954228772,-14.7972972573555,-25
"-25","Positive",2.30458286588567,1.4117307608328,20.741245792971,-25
"-24","Negative",-1.74743310221425,NA,-1.74743310221425,-24
"-24","Positive",0.166220538799564,NA,0.166220538799564,-24
"-23","Negative",-2.43402902151576,2.03971212988983,-4.86805804303151,-23
"-23","Positive",2.79543920856628,1.54577974412086,19.5680744599639,-23
"-22","Positive",0.621388630652004,0.83949772030154,1.24277726130401,-22
"-21","Negative",-0.801150162727613,1.1099836624676,-3.20460065091045,-21
"-20","Negative",-4.13565925776958,NA,-4.13565925776958,-20
"-20","Positive",1.40470720535364,0.475464812125042,2.80941441070727,-20
"-19","Negative",-2.93293520458514,1.34296569479916,-11.7317408183406,-19
"-19","Positive",1.32753755490324,1.76591131212266,2.65507510980649,-19
"-18","Negative",-0.858372970169127,0.880748848154593,-5.15023782101476,-18
"-18","Positive",1.39682176905246,0.629341718820969,2.79364353810491,-18
"-17","Negative",-0.465765809443396,0.669371796320308,-1.39729742833019,-17
"-17","Positive",2.13025877792937,1.70709036112612,6.3907763337881,-17
"-16","Negative",-1.52849197125781,0.564275813587118,-4.58547591377342,-16
"-16","Positive",0.97535534666975,0.57852731556147,7.802842773358,-16
"-15","Negative",-0.549573634518999,0.212570236284183,-1.099147269038,-15
"-15","Positive",0.905711902544797,0.964724366632702,6.33998331781358,-15
"-14","Negative",-1.29507979610621,0.953075298939619,-2.59015959221242,-14
"-13","Negative",-1.53274483928435,0.177741440290894,-3.06548967856869,-13
"-13","Positive",0.447056042188876,0.503325626505239,0.894112084377753,-13
"-12","Positive",1.49435494863276,1.77306578148608,5.97741979453106,-12
"-11","Negative",-2.5926423951041,2.09564530940675,-7.77792718531229,-11
"-10","Negative",-0.425222713341626,NA,-0.425222713341626,-10
"-9","Positive",0.239713601254919,0.0303150212208166,0.479427202509837,-9
"-8","Negative",-1.95344178491991,1.44544999824577,-7.81376713967963,-8
"-8","Positive",2.99353664709436,0.676471086105489,5.98707329418872,-8
"-7","Negative",-2.28646769894513,0.997916742132418,-4.57293539789026,-7
"-7","Positive",1.29608835230351,0.655308577024002,3.88826505691054,-7
"-6","Negative",-1.25353082664107,0.971096939833291,-6.26765413320533,-6
"-6","Positive",2.11944394773459,1.57464179147133,8.47777579093838,-6
"-5","Negative",-0.66247666101814,NA,-0.66247666101814,-5
"-4","Negative",-1.18354888540727,1.47045873191634,-2.36709777081454,-4
"-4","Positive",1.810609241204,1.75406804481413,12.674264688428,-4
"-3","Negative",-1.46330666182657,1.5282152036801,-19.0229866037455,-3
"-3","Positive",1.10040140017348,1.46224025720167,9.90361260156133,-3
"-2","Negative",-2.47483602622489,1.30105724433496,-32.1728683409236,-2
"-2","Positive",1.21131005987106,0.939083969411884,7.26786035922637,-2
"-1","Negative",-0.436855255909763,0.305513883937462,-0.873710511819526,-1
"-1","Positive",3.16052533547084,NA,3.16052533547084,-1
"0","Positive",0.00232912494586479,NA,0.00232912494586479,0
"1","Negative",-0.305002441699463,NA,-0.305002441699463,1
"11","Negative",-0.670610838784978,0.364863887580838,-1.34122167756996,11
"11","Positive",1.22284326127597,NA,1.22284326127597,11
"12","Negative",-4.48163066930439,NA,-4.48163066930439,12
"12","Positive",2.04396435405493,1.98931643515294,6.1318930621648,12
