"site_no","level_long_term_mean","level_long_term_mean_smooth","level_long_term_median","level_long_term_sd","level_2024_mean","level_2024_mean_smooth","level_2024_median","level_2024_sd","level_anomaly_volume","level_anomaly_volume_smooth","level_anomaly_percent","level_anomaly_percent_smooth","latitude","longitude","Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","ID","HYBAS_ID"
"004034",794.669884057971,794.640086956522,801.76,27.0156548497952,794.44,794.574333333333,794.69,25.4793443048854,-0.229884057970935,-0.0657536231883569,-0.0289282458770219,-0.00827464210120506,30.52,-281.63,15304,NA,"India","Asia","GRanD",2,4795,18.89,53.14,3.45,3540,3540,2,187.4,161.613,253.5,700,22.28,7301.8,78.476042,30.37459,15304,4020024190
"004053",412.637823529412,412.633588235294,412.7,1.29563800688019,413.565142857143,413.492,413.84,1.19349060822982,0.927319327731084,0.85841176470592,0.224729599385595,0.20803245038221,19.62,-283.05,15640,NA,"India","Asia","SWBD",2,4941,27.15,98.28,5.32,250.8,250.8,2,9.2,23.075,125.8,411,1.46,7825.5,76.955037,19.59127,15640,4020024190
"004055",209.720867678959,209.736854663774,209.29,2.8690732683934,209.733636363636,209.796363636364,208.78,3.23976447656868,0.0127686846775532,0.0595089725892137,0.00608841877247024,0.0283731596359693,19.13,-281.25,15652,NA,"India","Asia","SWBD",2,4945,18.87,55.35,3.59,215.8,215.8,2,11.4,33.648,74.2,212,2.37,2632.6,78.789443,19.109833,15652,4020024190
"004073",320.103247863248,320.098803418803,320.095,2.06515885045644,319.573333333333,319.822777777778,319.86,2.08353819945098,-0.529914529914549,-0.276025641025626,-0.16554487761428,-0.0862313879582006,16.34,-282.38,15714,NA,"India","Asia","SWBD",2,4988,27.56,92.89,4.99,338.1,338.1,2,12.3,1282.316,3.1,316,0.8,129297.6,77.701652,16.335441,15714,4020024190
"004078",640.976096345515,641.029833887043,640.395,4.0767005121271,650.112058823529,650.106176470588,649.795,1.54366894592616,9.13596247801445,9.07634258354506,1.42532030915077,1.4159001818228,13.83,-283.56,15760,NA,"India","Asia","SWBD",2,5000,39.3,96.31,4.33,850,850,2,21.6,13.235,743.3,646,2.21,5477.8,76.488738,13.885542,15760,4020024190
"004388",523.692747252747,523.726648351648,525.24,3.52634205651964,524.073703703704,523.981851851852,526.04,3.94439441403207,0.380956450956432,0.255203500203493,0.0727442671213037,0.0487283778678644,16.66,-285.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4020024190
"004470",90.3564571428571,90.3416,90.285,0.850846210934914,91.3412903225806,91.1429032258064,91.16,0.943559720545849,0.984833179723509,0.80130322580645,1.08994222534251,0.886970372238758,54.05,-295.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3020000010
"004532",324.961380846325,324.948886414254,325.12,0.618045854522973,324.57625,324.575625,324.94,0.78349537331117,-0.385130846325126,-0.373261414253875,-0.118515881894056,-0.114867731467783,22.17,-279.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4020024190
"004619",347.188713592233,347.098082524272,346.535,1.91607771647739,347.405588235294,347.381176470588,346.4,1.91628300430408,0.216874643061146,0.283093946316399,0.0624659254666503,0.0815602161376396,61.2,-152.77,4354,"Chakachamna Lake","United States of America","North America","NHD",1,0,66.57,63.58,2.2,5153.68,0,3,77.4,84.707,704.2,349,14.16,1599.8,-152.383099,61.212327,4354,8020000010
"004669",-0.459912280701754,-0.467061403508772,-0.44,0.261629704312265,-0.469714285714286,-0.462857142857143,-0.45,0.255900781718293,-0.00980200501253131,0.0042042606516291,2.13127707691888,-0.900151590357249,45.2,-326.46,14229,NA,"Ukraine","Europe","SWBD",1,0,74.3,79.56,2.6,256.57,0,3,3.5,2.61,1137.8,-2,0.93,1239.7,33.419334,45.198538,14229,2020003440
