"site_no","Hylak_id","level_long_term_mean","level_long_term_mean_smooth","level_long_term_median","level_long_term_sd","level_2024_mean","level_2024_mean_smooth","level_2024_median","level_2024_sd","level_anomaly","level_anomaly_smooth","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","ID","HYBAS_ID"
"000121",1400,4245.50125,4245.50097826087,4245.7,0.797681628800883,4246.21028571429,4246.22828571429,4246.24,0.185162658449347,0.709035714285164,0.72730745341596,"Pangong","India","Asia","SWBD",1,0,285.46,206.97,3.46,24911.16,0,3,87.3,10.121,28487.7,4241,10.02,27103,78.427167,33.961051,1400,4020024190
"000141",1452,4569.69004504504,4569.70552552553,4569.23,1.5568501546337,4566.24647058823,4566.29647058824,4566.3,0.246562824410814,-3.44357445680998,-3.40905493729042,"La-ang","China","Asia","SWBD",1,0,261.27,143.66,2.51,8482.36,0,3,32.5,46.34,2118.6,4570,4.32,6584.7,81.226042,30.846343,1452,4020024190
"000152",1449,4615.29745937962,4615.31358936485,4615.26,1.42324491219126,4617.30647058824,4617.43,4617.385,0.467552507846551,2.00901120861909,2.11641063515526,"Zhari Namco","China","Asia","SWBD",1,0,958.1,244.88,2.23,23952.43,0,1,25,73.435,3775.1,4612,-1,20080.1,85.639583,30.947917,1449,4020050470
"000156",1447,4688.82931216931,4688.87739417989,4690.085,3.13700051665508,4691.28235294118,4691.34176470588,4691.245,0.33730715095,2.45304077186393,2.46437052598776,"Ang-tzu","China","Asia","SWBD",1,0,389.33,109.32,1.56,3376.32,0,3,8.7,8.834,4423.6,4685,1.25,7132.4,87.152083,31.04375,1447,4020050470
"000166",1427,4553.67932038835,4553.66436893204,4553.72,0.547126369224838,4554.02257142857,4554.05114285714,4554.04,0.160959309018374,0.34325104022173,0.386773925103626,"Dogen","China","Asia","SWBD",1,0,134.17,70.71,1.72,1594.3,0,3,11.9,0.204,90453.6,4551,2.1,1209.4,91.177083,31.727083,1427,4020050470
"000171",1404,4937.17004694836,4937.18491392801,4937.53,2.5379585687816,4943.84647058824,4943.89558823529,4943.6,0.431648582887483,6.67642363987852,6.71067430728181,"Migriggyangzham","China","Asia","SWBD",1,0,472.55,205.96,2.67,12166.12,0,3,25.7,17.266,8155.4,4935,3.08,9891.8,90.35625,33.477083,1404,4020050470
"000177",14959,5195.92978461538,5195.94110769231,5195.96,0.407644865271674,5195.80486486486,5195.82216216216,5195.88,0.301243917611415,-0.124919750520348,-0.118945530145538,"Orba","China","Asia","SWBD",1,0,91.22,86.88,2.57,1963.82,0,3,21.5,0.034,668512.8,5194,4.36,523.3,81.085409,34.572924,14959,4020050470
"000189",1389,4822.12691099476,4822.14178010471,4822.52,1.98852505712613,4825.51764705882,4825.50764705882,4825.445,0.292896287607307,3.39073606405964,3.36586695411188,"Dogai Coring","China","Asia","SWBD",1,0,268.13,159.24,2.74,6029.7,0,3,22.5,0,-1,4818,3.12,7618.7,88.997917,34.547917,1389,4020050470
"000203",913068,253.213258064516,253.213741935484,253.27,0.563160224247893,253.044,253.056,253.06,0.266305883392408,-0.169258064516129,-0.15774193548387,NA,"Canada","North America","CanVec",1,0,0.13,1.55,1.22,0.31,0,3,2.4,0,-1,259,1.33,0.3,-99.988392,51.928741,913068,7020021430
"000208",1273,251.202387218045,251.203515037594,251.19,0.251424821998379,250.780952380952,250.779523809524,250.84,0.19307782788049,-0.421434837092733,-0.42399122807015,"Manas","China","Asia","SWBD",1,0,263.88,118.89,2.06,1198.39,0,3,4.5,115.269,120.3,244,0.78,81711.2,85.96875,45.810417,1273,4020050290
