"lon","sign","mean_anomaly","sd_anomaly","sum_anomaly","longitude"
"-166","Positive",0.685777558220757,NA,0.685777558220757,-166
"-165","Negative",-0.21936338742574,NA,-0.21936338742574,-165
"-165","Positive",0.618951920753115,0.387441998316738,5.57056728677804,-165
"-164","Negative",-0.404801194629982,NA,-0.404801194629982,-164
"-164","Positive",1.25933809526106,1.14911354278913,13.8527190478716,-164
"-163","Negative",-0.109554058057534,0.116778649505556,-0.328662174172601,-163
"-163","Positive",0.581569810400134,0.553946586474545,11.6313962080027,-163
"-162","Positive",1.0614622101124,1.62582535923514,9.55315989101156,-162
"-161","Negative",-0.128282781442007,NA,-0.128282781442007,-161
"-161","Positive",2.87147274956222,1.47692108240913,5.74294549912445,-161
"-160","Negative",-0.686007525822887,NA,-0.686007525822887,-160
"-160","Positive",0.618753623962402,NA,0.618753623962402,-160
"-159","Negative",-1.03969995363536,0.983767650774092,-2.07939990727072,-159
"-159","Positive",1.98778415793803,NA,1.98778415793803,-159
"-158","Negative",-3.45377456278041,NA,-3.45377456278041,-158
"-157","Negative",-0.343966595929055,0.338006607863603,-1.71983297964527,-157
"-157","Positive",0.545436717180387,0.569920550585116,3.81805702026271,-157
"-156","Positive",0.229757319214524,NA,0.229757319214524,-156
"-155","Negative",-0.549599474412773,NA,-0.549599474412773,-155
"-155","Positive",0.406406823932912,0.164657358508381,0.812813647865825,-155
"-154","Negative",-0.0986025078316863,0.0920276155842603,-0.394410031326745,-154
"-154","Positive",0.650630502234348,0.739974073169587,1.95189150670305,-154
"-153","Negative",-0.579338827233684,0.723290346239401,-1.15867765446737,-153
"-153","Positive",0.331658020473345,0.397263300820854,0.994974061420034,-153
"-152","Negative",-0.242796788433862,0.213770191371474,-0.728390365301585,-152
"-152","Positive",1.0140353356435,0.862368786716831,2.02807067128701,-152
"-151","Negative",-0.686057964209941,0.429644893093189,-2.05817389262982,-151
"-151","Positive",0.0338212691504376,0.0229440872260509,0.0676425383008752,-151
"-150","Negative",-0.434847637323233,NA,-0.434847637323233,-150
"-150","Positive",0.890833757610248,0.892157475307287,1.7816675152205,-150
"-149","Negative",-0.561172452544973,0.707896219020618,-1.12234490508995,-149
"-149","Positive",0.850139853757726,0.805095013066973,5.10083912254636,-149
"-148","Negative",-4.1985879387654,NA,-4.1985879387654,-148
"-148","Positive",0.324545091967429,NA,0.324545091967429,-148
"-147","Negative",-0.167070065625012,NA,-0.167070065625012,-147
"-146","Negative",-1.08437014192982,0.36287462275589,-2.16874028385964,-146
"-146","Positive",1.66216565836601,1.03161716882681,3.32433131673203,-146
"-145","Negative",-1.56641938573539,0.391466022538797,-4.69925815720616,-145
"-145","Positive",0.323976725786204,0.287318031869119,0.647953451572409,-145
"-143","Positive",0.364486623378027,NA,0.364486623378027,-143
"-141","Positive",0.428233020722259,0.175028038510014,0.856466041444518,-141
"-140","Negative",-1.20931975712337,1.05075947020779,-8.46523829986359,-140
"-140","Positive",0.332249906485131,0.284625455599676,1.32899962594053,-140
"-139","Negative",-0.682552593386957,0.2999415106155,-2.04765778016087,-139
"-139","Positive",0.0495675531160615,0.0653716156304786,0.0991351062321231,-139
"-137","Negative",-1.86952295910553,NA,-1.86952295910553,-137
"-136","Negative",-0.486932007841361,NA,-0.486932007841361,-136
"-136","Positive",0.385058076737069,0.41479567227803,1.15517423021121,-136
"-135","Negative",-1.19881718919327,1.02604958279514,-21.5787094054789,-135
"-135","Positive",0.803385908343527,0.983660285190837,13.65756044184,-135
"-134","Negative",-2.11657766640164,1.85472433267653,-12.6994659984098,-134
"-134","Positive",1.17236977030363,1.19514344055252,5.86184885151815,-134
"-133","Negative",-1.48261783596188,1.13994507801865,-10.3783248517331,-133
"-133","Positive",0.679221029974457,0.604236702234508,2.03766308992337,-133
"-132","Negative",-1.60527500425204,1.71261974294229,-4.81582501275613,-132
"-132","Positive",0.284690910691498,0.310253959595988,1.13876364276599,-132
"-131","Negative",-1.1993615041266,0.968190516883768,-8.39553052888622,-131
"-130","Negative",-2.0176160082496,1.8695875889084,-12.1056960494976,-130
"-130","Positive",0.549236970814027,0.128034944012575,1.09847394162805,-130
"-129","Negative",-0.54596193035043,0.661440641034483,-5.4596193035043,-129
"-129","Positive",1.7963294216447,2.03545825018669,3.59265884328941,-129
"-128","Negative",-1.57471677817181,1.65021529702254,-4.72415033451543,-128
"-128","Positive",0.445187569011713,0.11028821977377,1.78075027604685,-128
"-127","Negative",-1.05145342647049,1.12016031697225,-10.5145342647049,-127
"-127","Positive",0.975481309683825,1.30916277158876,11.7057757162059,-127
"-126","Negative",-0.171862755358539,0.175188154872646,-0.859313776792696,-126
"-126","Positive",1.06543016442382,0.972556454829465,15.9814524663574,-126
"-125","Negative",-2.09945575548584,1.62944454783285,-6.29836726645751,-125
"-125","Positive",1.36282719517127,0.795369404851207,12.2654447565414,-125
"-124","Negative",-0.160756835641784,NA,-0.160756835641784,-124
"-124","Positive",1.34266232326458,1.14982013685065,25.510584142027,-124
"-123","Negative",-0.68382936887349,0.852129841982744,-2.73531747549396,-123
"-123","Positive",0.983115123909761,0.78284472590879,7.86492099127809,-123
"-122","Negative",-1.84475143726768,1.63659779526773,-5.53425431180305,-122
"-122","Positive",1.29242010173999,1.2489914059337,18.0938814243599,-122
"-121","Negative",-2.0684245292139,1.3450601776394,-22.7526698213529,-121
"-121","Positive",1.72303154892331,1.34593647153272,27.568504782773,-121
"-120","Negative",-1.59697800414667,1.69238969156363,-14.37280203732,-120
"-120","Positive",1.10004811097589,0.878176368946843,12.1005292207348,-120
"-119","Negative",-0.946017525412092,0.971324430993171,-6.62212267788465,-119
"-119","Positive",0.674558251935665,0.544090795573385,6.07102426742099,-119
"-118","Negative",-1.11051862388633,1.8717382561863,-6.66311174331796,-118
"-118","Positive",1.270670304395,1.21903309282748,27.9547466966899,-118
"-117","Negative",-1.45211438034142,1.51074519470547,-20.3296013247799,-117
"-117","Positive",1.34765639453432,1.32773828041623,37.7343790469611,-117
"-116","Negative",-1.16307909538864,1.29642935395194,-9.30463276310915,-116
"-116","Positive",0.9110391064974,0.959796003174152,29.1532514079168,-116
"-115","Negative",-0.21376492052689,0.179592741554398,-1.06882460263445,-115
"-115","Positive",1.21527261165068,1.17354918394982,23.090179621363,-115
"-114","Negative",-0.87955663827351,0.65728629591325,-11.4342362975556,-114
"-114","Positive",1.25248775392621,1.20226882080011,27.5547305863766,-114
"-113","Negative",-0.821710935641189,0.822575841535224,-8.21710935641189,-113
"-113","Positive",0.740605868485745,0.652332393962717,14.8121173697149,-113
"-112","Negative",-1.07839367529719,0.983135815531932,-16.1759051294578,-112
"-112","Positive",0.934590930064179,1.09835157549874,24.2993641816687,-112
"-111","Negative",-1.79087539951907,1.73874165963757,-19.6996293947098,-111
"-111","Positive",1.44674828831675,1.3114766539607,30.3817140546517,-111
"-110","Negative",-1.29738665842499,1.61389711076149,-9.0817066089749,-110
"-110","Positive",1.42174599956686,1.34129301871429,17.0609519948024,-110
"-109","Negative",-0.730648747115049,0.56254914030198,-6.57583872403544,-109
"-109","Positive",0.935081205413011,0.880682150096887,7.48064964330409,-109
"-108","Negative",-2.10785492920964,1.77178355383054,-27.4021140797254,-108
"-108","Positive",1.22603190443598,1.07622201574898,24.5206380887196,-108
"-107","Negative",-1.39540582906505,1.21557306349648,-16.7448699487805,-107
"-107","Positive",1.17667206035704,1.25837206547151,25.8867853278549,-107
"-106","Negative",-2.01803345347434,1.39161084515003,-18.1623010812691,-106
"-106","Positive",1.06597732279036,1.20145129572145,23.4515011013878,-106
"-105","Negative",-1.26572094740388,1.14833910784646,-31.6430236850969,-105
"-105","Positive",0.929323328315743,0.904737226594153,34.3849631476825,-105
"-104","Negative",-1.08487421363687,1.30490607033769,-22.7823584863743,-104
"-104","Positive",1.57488827485283,1.47669960169708,55.1210896198489,-104
"-103","Negative",-1.2451994238614,1.304394549449,-19.9231907817824,-103
"-103","Positive",0.836848089557053,0.865071202574519,30.1265312240539,-103
"-102","Negative",-1.9008396982413,1.13515883328745,-11.4050381894478,-102
"-102","Positive",1.10974903019555,1.08212144974851,37.7314670266488,-102
"-101","Negative",-1.46142048758653,0.970071184035079,-11.6913639006922,-101
"-101","Positive",0.953965755953104,0.662583872142418,11.4475890714373,-101
"-100","Negative",-1.33875910436145,1.02135485688233,-5.35503641744579,-100
"-100","Positive",1.54553671903422,1.42888654468504,13.909830471308,-100
"-99","Negative",-1.26355247153514,1.38110264943712,-22.7439444876325,-99
"-99","Positive",1.36800423304935,1.41851255802601,21.8880677287896,-99
"-98","Negative",-1.96115956699775,1.47319503617615,-27.4562339379685,-98
"-98","Positive",1.09934475464768,1.03930376859982,35.1790321487259,-98
"-97","Negative",-1.35271535602215,1.65150227584728,-21.6434456963545,-97
"-97","Positive",1.39670856624934,1.36793302195113,44.6946741199789,-97
"-96","Negative",-0.765486958390589,0.780269009163867,-9.95133045907766,-96
"-96","Positive",1.2926583466583,1.34856407986316,37.4870920530908,-96
"-95","Negative",-0.741822322759117,0.80428849852595,-8.9018678731094,-95
"-95","Positive",1.48141545245282,1.20212989596551,65.1822799079239,-95
"-94","Negative",-1.6367552436693,1.9227730653723,-8.1837762183465,-94
"-94","Positive",1.40545797849119,1.38640815101603,32.3255335052973,-94
"-93","Negative",-0.160534992451936,0.156344895702328,-0.963209954711618,-93
"-93","Positive",1.3944769969243,1.33170123308207,23.7061089477132,-93
"-92","Negative",-0.274721218313571,0.302300602417154,-1.64832730988143,-92
"-92","Positive",1.56959132323937,1.3284999686884,29.8222351415481,-92
"-91","Negative",-2.0594071244982,1.10015892680285,-8.2376284979928,-91
"-91","Positive",1.64099510580096,1.31725975183999,21.3329363754125,-91
"-90","Negative",-2.3090659263008,3.24574575657855,-4.61813185260161,-90
"-90","Positive",1.40995601633915,1.41022240856239,18.329428212409,-90
"-89","Negative",-1.87521349912755,1.50982022037542,-7.50085399651022,-89
"-89","Positive",0.198733048264528,0.243748142258221,1.19239828958717,-89
"-88","Positive",0.871325805715842,0.740903389704474,5.22795483429505,-88
"-87","Negative",-4.90718149671368,NA,-4.90718149671368,-87
"-87","Positive",1.08599475071315,1.4643985364576,4.3439790028526,-87
"-86","Negative",-3.03657902419443,2.45629973199521,-6.07315804838885,-86
"-86","Positive",1.39070520431889,0.973200405512453,13.9070520431889,-86
"-84","Negative",-1.10031077025422,1.49465123156328,-5.50155385127109,-84
"-84","Positive",2.47676082370854,1.28091351439313,14.8605649422512,-84
"-83","Negative",-1.13384805530411,1.22221591023462,-5.66924027652054,-83
"-83","Positive",1.07436462597199,0.657457976824771,10.7436462597199,-83
"-82","Negative",-0.636815349590457,0.337733305169696,-1.27363069918091,-82
"-82","Positive",0.903058692549907,1.17060246527595,2.70917607764972,-82
"-81","Negative",-2.60058045652178,3.33808037511277,-5.20116091304357,-81
"-81","Positive",0.980381015295808,0.62491184142812,5.88228609177485,-81
"-80","Negative",-0.177874653065791,NA,-0.177874653065791,-80
"-80","Positive",0.916354392231383,NA,0.916354392231383,-80
"-79","Negative",-0.916693839749336,0.777292261196271,-3.66677535899735,-79
"-79","Positive",1.13955746000348,0.953336552238331,2.27911492000697,-79
"-78","Negative",-1.06091153070726,0.941495583345595,-5.30455765353629,-78
"-78","Positive",2.1675780836604,1.46649075091407,17.3406246692832,-78
"-77","Negative",-1.44395828059799,1.52048183492441,-10.1077079641859,-77
"-77","Positive",0.676374147434878,0.63072290955938,4.73461903204415,-77
"-76","Negative",-3.85616037382563,1.89459234834173,-11.5684811214769,-76
"-76","Positive",1.73867461278893,1.55056080494684,17.3867461278893,-76
"-75","Negative",-2.66019278574221,1.20008801351073,-7.98057835722663,-75
"-75","Positive",0.896090692481634,0.6703310467987,3.58436276992654,-75
"-74","Negative",-2.21316675268508,1.99794457617866,-11.0658337634254,-74
"-74","Positive",0.852138805342745,1.13183898823405,3.40855522137098,-74
"-73","Negative",-2.03974972842297,1.63297914959429,-12.2384983705378,-73
"-73","Positive",1.72364485220243,2.50656551698334,5.1709345566073,-73
"-72","Negative",-1.41453597996381,1.32871309545191,-11.3162878397105,-72
"-72","Positive",1.39413135301184,1.19673177728179,6.97065676505922,-72
"-71","Negative",-1.6642145007507,1.66450543265832,-4.99264350225209,-71
"-71","Positive",1.08241028517485,1.76306366219918,6.49446171104908,-71
"-70","Negative",-0.388866870697785,0.509646460221052,-1.16660061209336,-70
"-70","Positive",0.81386721961363,0.885338472159145,2.44160165884089,-70
"-69","Negative",-1.81796109339509,0.310452935659823,-7.27184437358037,-69
"-69","Positive",1.38126362034152,0.766332464914879,9.66884534239061,-69
"-68","Negative",-3.30136825586034,1.05785917473188,-13.2054730234414,-68
"-67","Negative",-1.15918446971647,0.402302838075864,-5.79592234858234,-67
"-67","Positive",0.866949522954925,0.459891709875233,6.06864666068447,-67
"-66","Negative",-1.21777399971552,0.798078617287402,-8.52441799800865,-66
"-66","Positive",1.70603980041141,1.50624409410679,20.4724776049369,-66
"-65","Negative",-1.86740534199846,1.38496767245584,-14.9392427359877,-65
"-65","Positive",0.968294069024645,1.13180881348827,9.68294069024645,-65
"-64","Negative",-1.32214978321102,1.16682069105046,-9.25504848247711,-64
"-64","Positive",1.06292050000764,1.34772123549611,7.44044350005347,-64
"-63","Negative",-1.39521119384428,1.21962078986235,-40.4611246214841,-63
"-63","Positive",1.30250480815208,0.994762117403229,11.7225432733688,-63
"-62","Negative",-1.80089914611295,1.61024127211269,-19.8098906072424,-62
