"year","ID","obs_count","mean_annual_storage","sd_annual_storage"
"1984",270,4,10198.1264648438,83.9275833922399
"1984",273,2,9324.623046875,299.211129604742
"1984",628,3,76920.3802083333,12841.5053046803
"1984",629,6,465.266220092773,9.74968661473192
"1984",717,1,2897.12231445312,NA
"1984",723,7,1635.71529715402,178.129040737299
"1984",724,4,25838.6733398438,3779.41579164273
"1984",776,7,4975.66081891741,498.266630152969
"1984",778,2,10508.078125,8.74630321338751
"1984",823,5,3841.56020507812,172.641441235618
"1984",839,6,8853.39265950521,555.779616865701
"1984",855,1,1060.57373046875,NA
"1984",857,2,230.058197021484,33.3235507602972
"1984",860,2,2216.96838378906,12.3210249218909
"1984",884,6,1344.4570719401,70.8775593468212
"1984",891,7,3482.38633510045,312.9207410891
"1984",902,1,5023.1884765625,NA
"1984",903,6,13416.8876953125,2392.24802154912
"1984",904,3,3310.7236328125,63.6102239373608
"1984",914,7,7222.74581473214,522.274640283895
"1984",916,1,206.946136474609,NA
"1984",929,2,13652.1752929688,399.286764627653
"1984",930,4,10200.3835449219,559.493245001015
"1984",932,4,177.9518699646,74.7546049214117
"1984",939,4,7249.50109863281,135.116429186418
"1984",954,5,6449.320703125,1081.15527390762
"1984",957,1,1547.08215332031,NA
"1984",960,5,3150.83950195312,62.5351456128817
"1984",994,1,11698.4736328125,NA
"1984",1082,1,2738.15698242188,NA
"1984",1112,1,2320.69213867188,NA
"1984",1186,1,1846.34460449219,NA
"1984",1196,1,280.357421875,NA
"1984",1227,4,1040.33642578125,212.926225364673
"1984",1234,1,2.41517734527588,NA
"1984",1253,2,3663.40380859375,6.23483117903646
"1984",1259,3,1402.14640299479,41.252060083824
"1984",1289,1,2216.16845703125,NA
"1984",1333,3,1994.56323242188,20.1667676080704
"1984",1337,2,859.930755615234,140.280809917338
"1984",1355,3,258.555852254232,123.112138612288
"1984",1360,2,7.65908992290497,5.72394006261675
"1984",1392,3,106.681955973307,0.732831447736949
"1984",1407,6,581.405909220378,72.7345652985578
"1984",1414,5,3906.5279296875,67.6778389931595
"1984",1543,4,942.830749511719,539.867698030249
"1984",1545,1,0.101149573922157,NA
"1984",1546,2,566.030517578125,28.3451245532159
"1984",1562,5,5702.3001953125,79.5613288496533
"1984",1574,1,0.000568314222618937,NA
"1984",1591,4,1789.68405151367,175.009050085591
"1984",1605,3,558.599243164062,16.4177308301321
"1984",1612,4,4922.07153320312,78.262990043437
"1984",1626,1,573.121765136719,NA
"1984",8866,4,13.4496622085571,1.49943224139657
"1984",8978,4,1081.22102355957,48.0209611767921
"1984",9360,5,1627.85510253906,20.7019544549435
"1984",9816,1,1141.38928222656,NA
"1984",9888,1,662.758911132812,NA
"1984",10085,6,601.444091796875,33.650258588745
"1984",10110,8,221.540232658386,50.4310721112231
"1984",10243,1,2.00133991241455,NA
"1984",10255,7,689.520098005022,52.9905220613397
"1984",10375,2,493.628723144531,25.3364249049702
"1984",13862,2,1614.00921630859,36.9476240681834
"1984",13878,3,1.74294403692087,2.23713999591579
"1984",14203,2,370.202911376953,4.65156627011138
"1984",14209,2,290.885208129883,1.47215367795799
"1984",14705,2,4.77987599372864,0.135679471901058
"1984",14747,2,30.0666790008545,0.362961915880058
"1984",14834,3,0.555530905723572,0.206065449984497
"1984",15883,4,0.331962967757136,0.478079703067841
