"level_anomaly_percent","ID","latitude","longitude"
0.146315655995475,569,54.03,-99.87
-0.092151179424346,4,53.18,-98.28
-0.0140801178330194,776,42.67,-120.22
-5.03851881153161,857,21.01,-73.53
0.364693017020675,100,61.52,-324.45
0.558018079780528,105,59.18,-346.36
-0.145495179582397,870,14.7,-91.14
-0.00584116165141064,916,-11.01,-76.09
-0.0280066229695256,924,-15.15,-70.06
-0.050322388135962,999,-47.32,-71.93
0.0234863754664084,87,-46.57,-71.2
-0.0814243814155374,53,50.79,-98.58
0.00438734403272195,79,-18.8,-67.37
-7.8709930243194,968,-33.36,-53
20.2682600912689,951,-22.88,-42.08
47.9408130190158,NA,16.7,-15.4
0.108777164893515,15,12.99,-345.61
-0.235594623693009,1626,-14.72,-324.12
0.576800168166401,166,-7.74,-328.06
0.112826752856098,1591,-0.75,-323.59
1.38794074756608,158,3.78,-323.93
-0.050834753270603,1343,37.68,-328.44
-0.0213148076678185,1333,38.67,-316.44
-0.169309528598287,142,37.28,-314.53
0.551455292230425,20,66.14,-71.03
0.0168407690665923,1400,33.92,-281.51
0.591005050941395,15320,30.12,-244.99
-0.0756938351820997,1452,30.64,-278.73
0.0436144927551573,1449,30.93,-274.18
0.0531524912992229,1447,31.03,-272.85
0.00753788345799583,1427,31.62,-268.88
0.135664616535155,1404,33.4,-269.87
-0.00238655377705633,14959,34.48,-279
0.0711840642589402,1389,34.59,-270.85
-0.0641865451784027,913068,51.93,-99.98
-0.167644421174129,1273,45.83,-273.9
0.0155744887141514,NA,47.17,-272.62
0.298548171023342,103,58.58,-332.51
-0.0926173869543282,58,49.74,-88.47
-0.30793112393794,107,58.45,-321.47
1.22543534346495,134,45.2,-227.24
0.270408985344758,1200,52.75,-280.3
0.573213303442091,1179,54.97,-281.42
0.262478559052583,114,54.98,-282.64
0.0557172347576565,1254,46.58,-278.87
-0.207173515238936,38,57.68,-101.99
0.242317891893493,1197,52.84,-285.85
0.236653102437563,26,62.92,-101.37
1.5312623878154,1196,52.73,-295.11
0.229956107104559,51,53.22,-100.19
-0.0955430845578279,1166,57.54,-289.37
0.0228496157106643,49,54.11,-64.65
